Id,PostId,VoteTypeId,UserId
"1","1","2",""
"2","2","2",""
"3","2","2",""
"5","3","2",""
"6","3","2",""
"7","1","2",""
"8","3","2",""
"9","3","2",""
"10","6","2",""
"11","1","2",""
"12","3","2",""
"13","1","2",""
"14","8","2",""
"15","10","2",""
"16","5","2",""
"17","5","5","29"
"18","15","2",""
"19","3","2",""
"20","1","2",""
"21","8","2",""
"22","11","5","29"
"23","11","2",""
"24","16","2",""
"26","22","2",""
"27","20","2",""
"28","20","5","45"
"29","5","2",""
"30","15","2",""
"31","1","2",""
"32","24","2",""
"33","22","2",""
"34","3","2",""
"35","11","2",""
"36","24","2",""
"37","20","2",""
"38","20","2",""
"39","20","5","36"
"40","16","2",""
"41","20","5","29"
"42","20","2",""
"43","16","5","29"
"44","8","2",""
"45","16","2",""
"46","8","5","36"
"47","1","2",""
"48","22","2",""
"49","40","2",""
"50","14","2",""
"51","40","2",""
"52","15","2",""
"53","5","5","78"
"54","5","2",""
"55","45","2",""
"56","41","2",""
"57","41","5","77"
"58","25","2",""
"59","13","2",""
"60","32","2",""
"61","16","2",""
"62","34","2",""
"63","45","2",""
"64","14","5","45"
"65","14","2",""
"66","42","2",""
"67","42","2",""
"68","15","2",""
"69","30","2",""
"70","33","2",""
"71","29","2",""
"72","22","2",""
"73","22","2",""
"77","33","2",""
"78","8","5","13"
"79","8","2",""
"81","46","2",""
"82","45","2",""
"84","44","2",""
"85","20","2",""
"86","25","2",""
"87","41","2",""
"88","22","2",""
"89","50","2",""
"90","11","2",""
"91","50","2",""
"93","25","2",""
"94","51","2",""
"95","56","10",""
"96","14","5","30"
"97","14","2",""
"98","11","2",""
"99","51","2",""
"100","50","2",""
"101","41","2",""
"102","41","5","89"
"105","61","2",""
"106","47","2",""
"107","41","3",""
"108","11","2",""
"109","21","2",""
"110","21","5","43"
"112","37","2",""
"114","63","2",""
"115","54","2",""
"116","31","2",""
"117","57","2",""
"118","47","2",""
"119","61","2",""
"120","4","2",""
"121","61","2",""
"122","67","2",""
"123","37","2",""
"124","6","2",""
"125","2","2",""
"126","3","2",""
"127","15","2",""
"128","61","2",""
"129","43","2",""
"130","35","2",""
"131","8","5","82"
"132","73","2",""
"133","59","2",""
"134","73","2",""
"135","7","2",""
"136","63","2",""
"137","22","2",""
"138","10","2",""
"139","8","2",""
"140","8","5","33"
"141","41","2",""
"142","10","3",""
"143","15","2",""
"144","64","2",""
"145","76","2",""
"146","85","2",""
"147","71","2",""
"148","90","2",""
"149","34","2",""
"150","88","2",""
"151","31","2",""
"152","31","5","8"
"153","95","2",""
"154","64","2",""
"155","99","2",""
"156","82","2",""
"157","68","2",""
"158","68","5","89"
"159","82","2",""
"160","100","2",""
"161","91","2",""
"164","61","2",""
"165","54","2",""
"166","75","2",""
"167","48","2",""
"168","106","2",""
"169","99","2",""
"170","82","5","82"
"171","8","2",""
"172","101","2",""
"173","74","2",""
"174","79","2",""
"175","85","2",""
"176","85","5","29"
"177","85","2",""
"178","81","2",""
"180","23","2",""
"181","33","2",""
"182","7","2",""
"183","28","2",""
"184","81","2",""
"185","87","2",""
"186","16","5","33"
"187","16","2",""
"188","80","10",""
"190","109","5","82"
"191","93","2",""
"192","112","2",""
"193","113","2",""
"194","14","5","116"
"195","115","2",""
"196","74","2",""
"197","8","5","115"
"198","8","2",""
"199","37","2",""
"201","12","2",""
"202","20","2",""
"203","41","5","8"
"204","121","2",""
"205","112","2",""
"206","109","2",""
"207","9","2",""
"211","112","2",""
"212","14","2",""
"213","75","2",""
"214","125","2",""
"216","35","2",""
"217","131","2",""
"218","5","2",""
"219","68","5","123"
"220","68","2",""
"221","71","2",""
"222","3","2",""
"223","75","2",""
"225","126","2",""
"226","102","2",""
"227","133","2",""
"228","125","2",""
"229","144","2",""
"230","3","2",""
"231","49","2",""
"232","1","2",""
"233","34","2",""
"234","119","2",""
"235","50","2",""
"236","119","2",""
"237","8","2",""
"238","8","5","131"
"239","87","2",""
"240","146","2",""
"241","116","2",""
"242","95","2",""
"243","33","2",""
"245","87","2",""
"246","148","2",""
"247","41","2",""
"248","146","2",""
"249","41","5","130"
"250","147","2",""
"251","148","2",""
"252","147","2",""
"254","126","2",""
"255","25","2",""
"256","148","1",""
"257","89","2",""
"258","114","3",""
"259","145","2",""
"260","138","2",""
"261","68","2",""
"262","101","2",""
"263","68","2",""
"264","99","2",""
"265","131","2",""
"266","135","2",""
"267","119","2",""
"268","74","2",""
"269","144","2",""
"270","139","2",""
"271","140","2",""
"272","137","2",""
"273","109","2",""
"274","91","2",""
"275","152","2",""
"276","15","2",""
"277","74","2",""
"278","154","2",""
"279","135","2",""
"280","81","2",""
"281","156","2",""
"282","32","2",""
"283","3","2",""
"285","14","2",""
"286","5","5","60"
"287","158","2",""
"288","22","2",""
"289","146","2",""
"290","163","10",""
"291","24","2",""
"292","160","2",""
"293","159","2",""
"294","165","2",""
"295","161","2",""
"296","137","2",""
"297","107","2",""
"299","87","2",""
"300","159","2",""
"301","166","2",""
"302","158","2",""
"303","146","3",""
"304","119","2",""
"305","157","2",""
"306","50","2",""
"307","143","2",""
"308","54","1",""
"309","137","2",""
"311","16","2",""
"312","145","2",""
"313","102","5","120"
"316","171","2",""
"317","124","2",""
"318","174","2",""
"319","32","2",""
"320","92","2",""
"323","16","5","122"
"324","134","2",""
"325","82","2",""
"326","179","2",""
"327","134","2",""
"328","100","2",""
"329","82","2",""
"330","177","2",""
"331","166","2",""
"332","106","2",""
"333","119","2",""
"334","11","2",""
"335","150","2",""
"336","74","2",""
"337","147","2",""
"338","85","2",""
"339","64","2",""
"340","41","2",""
"341","85","2",""
"342","136","2",""
"343","191","10",""
"344","71","2",""
"345","75","3",""
"346","184","2",""
