Id,Postid,Score,UserId
"40458","24962","0","8240"
"40460","24978","0","13897"
"40462","24971","0","5060"
"40463","24975","0","5060"
"40465","24979","0","14091"
"40466","24972","0","9736"
"40467","24970","0","13798"
"40468","24852","0","11686"
"40469","21623","0","12923"
"40470","24975","0","9280"
"40471","24971","0","2188"
"40472","24971","2","13214"
"40474","24986","0","9076"
"40475","24956","0","14073"
"40479","24990","1","8240"
"40486","24957","3","11826"
"40487","24994","0","13327"
"40488","24997","1","1929"
"40489","24997","1","11686"
"40490","24799","0","13993"
"40491","24789","0","13993"
"40492","24998","0","14099"
"40494","24998","0","11686"
"40495","24998","0","14099"
"40496","24998","0","11686"
"40498","25001","1","51"
"40500","24852","0","11956"
"40502","24633","0","13214"
"40503","3170","0","6877"
"40504","24856","0","5378"
"40505","24978","0","11292"
"40507","24937","0","1743"
"40509","24716","0","3974"
"40510","24957","0","14084"
"40511","24957","0","14084"
"40513","24978","0","3505"
"40515","25010","0","8792"
"40516","24990","0","12611"
"40518","24982","0","13799"
"40519","25011","0","7375"
"40520","25007","0","14089"
"40521","25011","0","13799"
"40522","25015","0","14008"
"40523","24979","0","13799"
"40525","25015","0","11686"
"40526","25015","0",""
"40527","25013","0",""
"40528","25015","0",""
"40529","24982","0","14089"
"40530","24982","0","13799"
"40531","24990","1","9825"
"40533","25012","0","8792"
"40534","25007","0","10165"
"40536","25012","0","11686"
"40537","25009","0","13169"
"40539","25013","0","51"
"40540","3155","2","6188"
"40541","18017","0","3830"
"40542","25020","1","13784"
"40543","25020","1","11686"
"40544","25012","0","8792"
"40545","25022","0","12875"
"40546","24979","0","14091"
"40547","24978","0","13897"
"40548","11209","0","11686"
"40549","25026","0","11686"
"40550","24965","0","364"
"40552","25030","2","8119"
"40553","25030","0","9736"
"40555","25030","0","14120"
"40556","25032","1","51"
"40557","25028","0","14114"
"40558","25032","1","7191"
"40559","25024","0","14114"
"40561","25030","0","9736"
"40562","24992","0","9736"
"40563","25024","0","11686"
"40564","25024","0","14114"
"40565","25035","0","13214"
"40566","25035","2","8119"
"40567","25035","1","8119"
"40568","25035","0","7191"
"40569","25035","0","7191"
"40570","24995","0","9076"
"40571","25035","0","14120"
"40572","24313","0","13714"
"40573","25035","0","8119"
"40574","25035","0","8119"
"40575","25035","0","7191"
"40576","25046","0","14120"
"40577","25030","0","8119"
"40578","25029","0","11826"
"40579","25034","3","7261"
"40580","24995","0","12993"
"40581","25041","0","13327"
"40582","25041","2","8119"
"40583","24045","0","11826"
"40584","25048","3","11826"
"40585","25048","0","13870"
"40587","25050","0","10920"
"40588","25052","1","11826"
"40589","25052","1","11686"
"40592","25056","0","6813"
"40593","25058","0","12253"
"40598","18017","0","9798"
"40601","25055","2","7911"
"40602","24862","2","5864"
"40603","25033","0","2188"
"40604","25071","0","4307"
"40605","25069","7","4546"
"40606","25071","0","9736"
"40607","25003","3","107"
"40608","24720","0","12792"
"40609","25077","0","6813"
"40610","25077","0","11686"
"40611","25079","0","4513"
"40612","25077","0","11686"
"40613","25079","0","13252"
"40614","25081","0","11686"
"40615","25080","0","9071"
"40616","25081","0","14135"
"40617","24588","2","107"
"40618","25065","0","14486"
"40619","25081","0","5125"
"40620","25065","0","14486"
"40621","25082","1","5125"
"40622","25081","0","14135"
"40623","25082","0","14135"
"40624","25082","0","11686"
"40625","25066","0","5007"
"40627","25084","0","6188"
"40628","25081","0","11686"
"40629","25066","0","6188"
"40630","24999","0","5060"
"40631","25084","0","3990"
"40632","25011","0","5060"
"40634","25072","0","14138"
"40635","25081","0","5125"
"40636","25083","0","13154"
"40638","24979","0","13799"
"40639","25035","0","14120"
"40641","25096","0","6422"
"40642","25096","0","2188"
"40644","25096","2","6422"
"40645","25044","0","12281"
"40646","25041","0","12281"
"40647","25089","0","10025"
"40648","25077","0","14118"
"40649","25078","0","51"
"40650","25068","0","13953"
"40652","25057","0","20"
"40653","25094","1","9269"
"40655","24916","0","14036"
"40657","25062","4","9134"
"40658","25032","1","3505"
"40659","25057","0","13953"
"40660","25094","1","7911"
"40661","25062","0","11686"
"40662","25035","0","7191"
"40663","25096","0","11686"
"40664","2678","0","6877"
"40665","25104","4","1430"
"40666","25094","4","7728"
"40667","25057","0","20"
"40668","25099","0","8090"
"40669","25035","0","14120"
"40670","25100","1","8954"
"40671","25093","4","8631"
"40673","976","0","395"
"40674","25062","2","9134"
"40675","25109","1","13784"
"40676","25112","0","1430"
"40677","25037","0","1430"
"40679","25112","0","1562"
"40680","2678","2","5060"
"40681","25112","0","8954"
"40682","25099","0","3762"
"40683","25093","0","3762"
"40684","25093","0","3762"
"40685","25112","0","14126"
"40686","25037","0","14126"
"40687","25111","1","7911"
"40688","25033","1","7911"
"40691","25111","0","13332"
"40693","25114","0","14120"
"40695","25114","0","14120"
"40696","25114","0","7191"
"40697","25114","0","14120"
"40698","25093","0","12875"
"40699","25114","0","7191"
"40700","25114","0","14120"
"40701","25117","0",""
"40703","25117","0","7745"
"40705","25116","1","12611"
"40706","24669","0","12611"
"40708","25123","3","12875"
"40709","25123","0","6558"
"40710","25123","0","14157"
"40711","25123","0","14157"
"40712","25123","0","7911"
"40713","25117","1","288"
"40714","25125","3","4513"
"40715","25125","0","7640"
"40716","25104","0","9322"
"40717","25096","0","6422"
"40718","21655","1","6422"
"40719","25129","0","5162"
"40721","25054","0","7745"
"40722","25131","0",""
"40723","25096","0","2188"
"40724","25129","1","2698"
"40725","25136","0","5125"
"40726","25136","0","14167"
"40728","24912","1","165"
"40730","25140","3","3974"
"40731","25141","2","14170"
"40732","12389","5","14167"
"40733","25140","0","7746"
"40734","25093","0","3762"
"40735","25124","0","11686"
"40736","25096","1","20"
"40737","25125","0","12585"
"40738","25124","0","12875"
"40739","25125","0","12585"
"40740","1884","0","2188"
"40741","25131","0","12585"
"40742","24990","0","14093"
"40743","24990","0","14093"
"40745","24990","0","14093"
"40746","25143","1","8957"
"40747","25143","0","14171"
"40748","25124","2","1430"
"40750","25100","0","12281"
"40751","25131","0","1562"
"40752","25104","0","51"
"40753","25131","0","12585"
"40754","25156","0","1494"
"40755","25156","2","1430"
"40756","25114","0","7191"
"40758","25159","3","5224"
"40759","25125","3","6558"
"40762","25161","3","5495"
"40763","25161","7","6558"
"40764","25161","5","1430"
"40765","25157","1","1691"
"40766","25125","0","12585"
"40771","25167","3","3767"
"40772","25157","0","3505"
"40774","5667","0","14068"
"40776","25118","0","13619"
"40777","25169","1","14185"
"40778","25170","1","14185"
"40779","25167","0","1929"
"40780","25171","0","7328"
"40781","25171","0","14187"
"40782","25167","0","14185"
"40783","25167","0","14185"
"40784","25172","0","9366"
"40785","25156","0","2560"
"40787","25118","0","11236"
"40788","25104","0","9322"
"40789","25104","0","9322"
"40790","25177","1","10920"
"40792","25118","0","11826"
"40793","25173","1","11826"
"40795","25159","0",""
"40796","25118","0","11236"
"40797","25178","4","11826"
"40798","25180","0","1430"
"40799","25180","2","20"
"40800","25170","0","5624"
"40805","25178","0","5724"
"40806","25131","1","1562"
"40807","25131","1","1562"
"40809","24161","0","11956"
"40810","25102","0","4469"
"40811","25187","0","14204"
"40812","25189","0","14204"
"40813","25157","0","14172"
"40814","25191","3","14204"
"40816","25114","0","14120"
"40820","25173","0","6422"
"40821","25197","0","12233"
"40822","25173","2","12875"
"40823","25179","0","12875"
"40825","25186","0","14204"
"40826","24968","3","20"
"40827","25157","0","3505"
"40828","25199","3","1430"
"40830","24968","0","1430"
"40832","25079","0","11127"
"40833","25079","0","14135"
"40834","25079","3","4300"
"40835","9061","0","3830"
"40838","9061","0","8957"
"40839","25205","3","6558"
"40840","25201","0","13571"
"40841","24968","0","14087"
"40842","25133","0","13154"
"40843","25189","0","13549"
"40844","25186","0","13549"
"40845","25201","0","14211"
"40846","25159","0","13414"
"40849","25175","0","13414"
"40850","25187","0","5224"
"40851","25189","0","5224"
"40852","25154","1","1839"
"40853","25186","1","1839"
"40854","25219","0","14012"
"40855","25219","0","8119"
"40856","25186","2","12792"
"40857","25214","0","13350"
"40858","9068","0","7911"
"40859","25223","1","7911"
"40860","25220","8","9366"
"40861","25223","3","6558"
"40862","25186","0","7911"
"40863","25223","1","7911"
"40864","25223","0","13791"
"40865","25225","0","12406"
"40866","25223","0","7911"
"40868","25169","0","5473"
"40869","25215","2","14185"
"40870","25225","0","14185"
"40871","12997","0",""
"40872","25131","1","12585"
"40873","25114","0","7191"
"40874","25215","0","7191"
"40877","25220","3","4443"
"40878","25230","6","51"
"40883","25215","0","14218"
"40885","25234","0","13327"
"40886","25234","0","2624"
"40891","23385","0","7261"
"40895","25239","1","7191"
"40896","25239","2","2624"
"40897","25065","0","14486"
"40898","25243","4","12993"
"40899","25205","6","2698"
"40900","9068","0","2710"
"40901","25159","0",""
"40902","25246","0","14204"
"40904","25186","0","14204"
"40905","25186","0","14204"
"40906","25186","0","14204"
"40907","25186","0","14204"
"40908","25189","0","14204"
"40909","25237","2","20"
"40910","25131","0","1562"
"40911","25131","0","1562"
"40912","25241","0","14217"
"40914","25236","2","8155"
"40915","24278","0","5125"
"40916","25197","0","10165"
"40917","25175","0","13220"
"40920","25254","1","5125"
"40921","25210","0","14135"
"40922","25254","0","13305"
"40923","25079","0","14135"
"40925","25254","1","4947"
"40926","25254","0","4947"
"40927","25253","0","4947"
"40928","25256","0","13305"
"40929","25142","0","9825"
"40930","25254","0","13305"
"40931","25258","0","14235"
"40932","25142","0","12185"
"40933","25258","0","13150"
"40934","24886","0","13784"
"40935","24278","0","1494"
"40936","24886","0","14039"
"40937","25258","0","14235"
"40939","25265","0","8119"
"40940","25267","0","14240"
"40943","25263","0","14238"
"40944","25142","0","9825"
"40945","25258","0","14235"
"40946","25263","0","8119"
"40947","25262","0","14238"
"40948","25263","0","14238"
"40949","25270","0","14241"
"40950","25258","0","13150"
"40951","25267","0","12875"
"40952","25272","0","13327"
"40953","25065","0","986"
"40954","25272","2","8240"
"40955","25258","0","14235"
"40956","25258","0","14235"
"40958","25263","0","8119"
"40959","24886","0","13784"
"40960","25273","0","14241"
"40961","25263","0","14238"
"40962","25263","0","8119"
"40963","25256","0","2798"
"40964","25276","3","9366"
"40965","25272","0","13327"
"40966","25277","0","9366"
"40967","25258","1","9366"
"40968","25263","0","14238"
"40969","25273","0","14241"
"40973","25283","1","7911"
"40974","25283","1","13303"
"40975","25258","0","14235"
"40976","25259","0","11956"
"40977","25283","4","7911"
"40979","22166","0","7728"
"40980","22166","1","8119"
"40981","25297","0","13784"
"40983","25297","0","14252"
"40984","25297","0","13784"
"40985","25297","0","14252"
"40986","25297","0","13784"
"40988","25297","0","14252"
"40989","25298","1","14252"
"40990","25295","0","14251"
"40991","25283","1","8954"
"40992","25295","0","12993"
"40993","25300","0","5224"
"40994","24152","0","11956"
"40997","25303","0","14256"
"40998","25303","0","14256"
"41000","25301","0","20"
"41001","25301","0","14256"
"41002","25258","0","13150"
"41003","18319","0","13303"
"41004","18319","0","7328"
"41005","25307","0","3505"
"41006","25307","0","6766"
"41007","25301","0","6766"
"41008","25307","0","14256"
"41009","25303","0","14256"
"41010","25258","0","14235"
"41011","25293","0","4013"
"41012","25259","3","12875"
"41013","21219","0","9736"
"41014","25309","0","51"
"41015","25316","0","1923"
"41016","25316","0","13414"
"41017","25316","0","13414"
"41018","25253","0","9894"
"41019","25312","0","13414"
"41020","25315","5","7328"
"41021","25312","0","1923"
"41022","25312","0","11686"
"41024","25315","1","7261"
"41025","25312","0","11686"
"41026","25325","0","11826"
"41027","25325","0","14012"
"41028","25325","0","14012"
"41029","25315","1","7191"
"41030","25325","0","11826"
"41031","25325","0","14012"
"41032","25325","0","11826"
"41033","25325","0","14012"
"41034","25327","5","2946"
"41035","25327","0","4039"
"41036","25325","0","13784"
"41037","25312","0","1923"
"41038","25293","0","8119"
"41039","24152","0","3106"
"41040","25328","0","7359"
"41041","25315","0","9736"
"41042","25323","0","12406"
"41043","25323","2","11686"
"41044","25327","1","233"
"41045","25312","0","11686"
"41046","25327","3","4438"
"41047","25259","0","11956"
"41048","18328","1","6211"
"41050","25258","1","9366"
"41051","25337","0","12993"
"41052","25323","1","11826"
"41053","18328","0","1929"
"41054","25323","0","11686"
"41055","25253","0","8480"
"41056","6861","0","6908"
"41057","25341","1","4039"
"41058","25344","1","11826"
"41059","25344","0","11826"
"41060","25344","0","11686"
"41061","25344","0","11826"
"41062","25345","0","14251"
"41063","24152","0","11956"
"41064","25325","0","14012"
"41065","25346","1","14012"
"41067","25300","0","14278"
"41068","24152","0","11956"
"41069","25253","0","7728"
"41070","25348","0","2188"
"41072","25347","0","14030"
"41073","20916","0","1199"
"41074","25349","0","5224"
"41075","3697","0","2188"
"41076","25348","0","1494"
"41077","25348","0","1929"
"41078","20916","0","1258"
"41079","20917","2","1258"
"41082","20916","0","11686"
"41083","25349","0","13303"
"41084","25355","0","5224"
"41085","25355","0","14286"
"41086","20916","0","11686"
"41087","20916","0","1258"
"41088","20916","1","11686"
"41089","25355","0","5224"
"41090","24152","0","3106"
"41091","20916","0","1258"
"41092","25355","0","13303"
"41093","25355","0","14286"
"41094","25357","0","13303"
"41095","25341","2","5685"
"41096","25349","0","51"
"41097","25355","0","5224"
"41098","25349","0","6188"
"41100","25347","0","14066"
"41102","25360","0","4443"
"41103","25349","0","7328"
"41106","25341","0","7728"
"41107","25354","0","8954"
"41108","25341","0","4039"
"41109","25369","6","2946"
"41110","25369","1","6558"
"41111","25369","0","14303"
"41112","25288","0","4360"
"41113","25369","2","6908"
"41114","25356","0","13087"
"41115","23692","0","1929"
"41116","25358","0","2698"
"41117","25370","0","2698"
"41118","25325","0","12969"
"41119","25325","0","14012"
"41120","25325","0","12969"
"41121","25325","0","12969"
"41122","25325","0","14012"
"41123","25325","0","14012"
"41124","25325","0","12969"
"41125","25325","0","14012"
"41129","25328","0","12792"
"41131","25348","1","14277"
"41132","25348","1","14277"
"41133","25348","1","14277"
"41134","25352","1","14277"
"41135","25379","8","7911"
"41136","25352","1","5224"
"41137","25348","1","2188"
"41138","25370","0","2188"
"41139","25379","1","12374"
"41140","25145","1","14167"
"41141","25381","0","14307"
"41142","25386","0","5864"
"41143","25381","0","4947"
"41144","25386","1","11948"
"41145","25354","0","5125"
"41146","25388","0","7728"
"41147","25388","0","14170"
"41148","25388","1","7728"
"41149","25391","2","4264"
"41150","25388","0","14170"
"41151","25391","2","7728"
"41154","25354","0","8954"
"41155","25391","1","5864"
"41156","25391","0","6908"
"41157","25354","0","5125"
"41158","25381","0","13150"
"41159","25365","0","2601"
"41161","25365","0","13350"
"41162","25357","0","9134"
"41163","25365","2","12095"
"41164","25365","0","13350"
"41166","25395","2","1494"
"250462","141264","0","67769"
"250463","141264","0","39905"
"250465","141264","1","10408"
"250466","141264","0","7191"
"250467","3253","0","101177"
"250470","141264","0","9134"
"250471","141265","4","21890"
"250473","141265","1","7191"
"250477","141269","0","77405"
"250478","137971","0","55939"
"250480","141274","0","55939"
"250482","141159","0","35236"
"250483","141164","0","35236"
"250488","141265","1","62926"
"250489","141251","1","5473"
"250494","141273","0","40264"
"250495","141273","0","55939"
"250496","141273","0","40264"
"250498","141286","0","39518"
"250499","141286","0","92414"
"250500","141286","1","39518"
"250501","141288","2","5473"
"250502","141286","0","92414"
"250503","141286","0","5473"
"250504","141286","0","92414"
"250505","141227","1","33287"
"250508","98029","0","1953"
"250509","141290","0","40570"
"250510","141291","0","6588"
"250511","141291","1","67769"
"250512","141293","2","101199"
"250513","141291","0","101199"
"250514","141291","0","101199"
"250515","141288","1","2434"
"250516","141290","0","93421"
"250517","141291","4","1430"
"250518","141291","0","101199"
"250520","141291","1","1430"
"250521","141250","0","101166"
"250522","136141","0","4918"
"250523","141294","0","66803"
"250524","141294","0","80053"
"250525","141294","0","80053"
"250526","141294","0","66803"
"250527","141294","0","66803"
"250528","141293","0","92482"
"250529","141294","0","80053"
"250530","141294","0","80053"
"250531","141286","0","39518"
"250532","141242","0","82788"
"250533","141242","0","39518"
"250534","141286","0","1424"
"250537","140975","0","100880"
"250538","141300","0","101187"
"250539","140972","0","100880"
"250540","140975","0","39518"
"250541","140972","0","39518"
"250542","141300","0","93108"
"250543","141300","0","93108"
"250545","141082","0","72006"
"250546","141082","0","72006"
"250547","141305","0","101106"
"250548","141223","0","63208"
"250549","141286","0","92414"
"250550","141286","0","92414"
"250551","141286","0","39518"
"250552","141286","0","2523"
"250553","141286","0","92414"
"250554","141273","0","30896"
"250555","141302","0","24570"
"250556","141302","0","63208"
"250557","141307","0","67769"
"250558","141305","3","67769"
"250560","141308","2","74040"
"250562","141311","0","67769"
"250563","141308","0","70315"
"250564","141082","0","5473"
"250565","141265","0","77405"
"250566","141151","0","100020"
"250567","141151","0","21890"
"250568","141151","0","100020"
"250571","141263","0","92462"
"250572","141151","0","100020"
"250573","141312","0","67769"
"250574","141151","0","21890"
"250575","141263","0","92462"
"250576","141151","0","100020"
"250577","141151","0","21890"
"250578","141293","3","8774"
"250579","141311","0","90568"
"250580","141151","0","100020"
"250581","141313","0","40264"
"250582","141151","0","21890"
"250583","141313","0","76061"
"250584","141313","0","40264"
"250585","141313","0","76061"
"250586","141313","0","40264"
"250587","141314","1","10408"
"250588","141312","0","39518"
"250589","141314","0","5473"
"250590","141312","0","101210"
"250591","141314","0","101215"
"250594","141174","0","26887"
"250595","141313","0","76061"
"250596","141303","2","39518"
"250597","141313","0","76061"
"250598","141313","0","40264"
"250601","141256","0","77195"
"250602","140102","0","30976"
"250603","140114","0","30976"
"250606","141321","0","101223"
"250608","141321","0","101223"
"250610","141321","0","2624"
"250611","141326","1","1430"
"250612","141326","0","99673"
"250613","141326","0","1430"
"250614","141290","0","93421"
"250615","141326","1","43702"
"250616","141329","0","68264"
"250617","141321","0","75627"
"250618","138774","0","6588"
"250619","59627","0","98913"
"250620","141329","0","7697"
"250622","138774","0","7697"
"250623","141119","0","99418"
"250624","141308","0","63208"
"250626","141332","0","101224"
"250628","8485","0","63208"
"250635","141324","0","30896"
"250636","141321","0","101223"
"250638","141343","0","76061"
"250639","141343","0","50555"
"250640","141338","0","65776"
"250642","63733","0","99673"
"250643","141346","0","100120"
"250644","141338","0","76558"
"250646","141350","0","39518"
"250647","141350","0","99316"
"250648","141348","0","39518"
"250650","141334","0","81948"
"250652","141308","0","39518"
"250653","141356","0","39518"
"250654","141356","0","100020"
"250655","141151","0","100020"
"250656","141341","1","76961"
"250657","141348","0","92551"
"250658","141357","0","100020"
"250659","141348","0","92551"
"250660","141357","0","39518"
"250661","141344","2","32229"
"250662","141344","0","74040"
"250663","141344","0","32229"
"250664","141360","4","39518"
"250665","141357","0","100020"
"250666","141357","0","39518"
"250667","141357","0","100020"
"250668","141324","0","55939"
"250669","141357","0","39518"
"250670","141356","0","39518"
"250671","141357","0","100020"
"250672","141348","0","92551"
"250673","141344","3","26592"
"250674","141361","0","39518"
"250675","141361","0","21890"
"250677","141343","0","50761"
"250679","141365","0","1929"
"250680","141365","0","7697"
"250681","141360","1","9134"
"250682","136873","0","78696"
"250685","141363","0","75627"
"250688","141350","1","3770"
"250689","141244","0","90203"
"250690","141244","0","90203"
"250691","141366","0","32481"
"250692","141368","0","77452"
"250693","141368","0","32481"
"250694","141368","0","77452"
"250695","141368","0","32481"
"250696","141204","0","99092"
"250697","141369","1","32481"
"250698","141369","0","99092"
"250699","141360","0","99309"
"250700","29618","1","93645"
"250701","141370","0","7728"
"250702","141360","1","7728"
"250703","141370","2","55830"
"250704","141369","0","32481"
"250706","141363","0","33287"
"250708","141367","0","44334"
"250709","141369","2","30896"
"250710","141369","2","30896"
"250711","141361","0","100020"
"250717","141244","1","5473"
"250720","141244","1","5473"
"250722","130736","1","101275"
"250723","137535","0","25429"
"250724","141211","0","86003"
"250725","141343","0","76061"
"250726","141380","0","10408"
"250727","141361","0","21890"
"250731","141361","0","100020"
"250732","141361","0","21890"
"250733","141385","0","21890"
"250734","141361","0","100020"
"250735","141211","0","39518"
"250736","141374","0","39518"
"250737","141286","0","92414"
"250738","101144","0","10408"
"250739","8485","0","39518"
"250740","141374","0","101170"
"250741","141381","0","101170"
"250742","141374","0","39518"
"250743","141381","0","67769"
"250744","125347","0","78203"
"250745","141374","0","101170"
"250746","141390","0","97286"
"250747","132832","2","2698"
"250748","141391","0","41345"
"250749","132832","1","39518"
"250751","132832","0","41345"
"250752","141028","1","92551"
"250753","139892","0","92551"
"250755","141378","1","72278"
"250756","141028","0","72882"
"250757","141378","2","101291"
"250760","141165","0","23826"
"250763","141390","0","35236"
"250764","141347","0","100120"
"250766","106070","0","92551"
"250768","141013","0","101066"
"250770","141378","6","101275"
"250771","141390","0","97286"
"250774","141390","0","97286"
"250776","141391","0","55830"
"250778","41856","3","63208"
"250779","141398","0","101275"
"250780","141378","0","72278"
"250781","141400","37","39518"
"250782","141378","0","101275"
"250787","105205","0","48233"
"250788","141378","0","72278"
