Id,Reputation,UpVotes,DownVotes,AccountId
"124700","1","0","0","9468815"
"124701","101","0","0","2422600"
"124702","101","0","0","9985036"
"124703","1","0","0","15289909"
"124704","1","0","0","9515241"
"124705","1","0","0","15290072"
"124706","1","0","0","2127385"
"124707","1","0","0","14710466"
"124708","1","0","0","15290863"
"124709","1","0","0","8082075"
"124710","1","0","0","15265729"
"124711","1","0","0","15292056"
"124712","1","0","0","5783720"
"124713","1","0","0","13247315"
"124714","101","0","0","1814662"
"124715","101","0","0","441935"
"124716","1","0","0","13840632"
"124717","101","0","0","5645243"
"124718","1","0","0","14483921"
"124719","101","1","0","446417"
"124720","1","0","0","15295046"
"124721","101","0","0","14673664"
"124722","1","0","0","14481280"
"124723","1","0","0","9078526"
"124724","101","0","0","5318924"
"124725","1","0","0","15296315"
"124726","113","4","0","15159703"
"124727","121","0","0","5191047"
"124728","1","0","0","11233294"
"124729","1","0","0","4434300"
"124730","1","0","0","15297087"
"124731","101","1","0","10672328"
"124732","1","0","0","14891545"
"124733","1","0","0","14490223"
"124734","1","0","0","15176002"
"124735","1","0","0","3877838"
"124736","11","0","0","8614851"
"124737","1","0","0","15298608"
"124738","1","0","0","8100522"
"124739","101","0","0","1390727"
"124740","101","0","0","4145572"
"124741","101","0","0","280794"
"124742","101","0","0","1645530"
"124743","1","0","0","15257922"
"124744","1","0","0","15299361"
"124745","1","0","0","9930418"
"124746","1","0","0","12844531"
"124747","1","0","0","14690045"
"124748","1","0","0","2295191"
"124749","1","0","0","1039254"
"124750","1","0","0","15040440"
"124751","1","0","0","5784950"
"124752","101","0","0","7278238"
"124753","1","0","0","4991520"
"124754","101","2","0","11148234"
"124755","101","0","0","1243525"
"124756","1","0","0","15301704"
"124757","1","0","0","4725357"
"86982","101","0","0","6565238"
"86983","101","1","0","417375"
"86984","1","0","0","8772055"
"86985","101","0","0","8306545"
"86989","11","0","0","8522523"
"86990","101","7","0","209954"
"86991","101","1","0","3011670"
"86992","1","0","0","7968450"
"86993","101","2","0","3045068"
"86994","1","0","0","1065320"
"86995","1","0","0","8102023"
"86996","1","0","0","8555330"
"86997","1","0","0","8783669"
"86998","1","0","0","6754524"
"86999","6","0","0","8711567"
"87000","31","0","0","2535938"
"87001","101","1","0","4863729"
"87002","6","0","0","8784843"
"87003","6","0","0","8785047"
