Id,PostTypeId,OwnerUserId
"80559","1","48497"
"80560","1","17744"
"80561","2","49561"
"80562","2","7623"
"80563","2","49563"
"80564","2","2472"
"80567","1","49568"
"80568","1","49524"
"80569","2","3934"
"80570","2","49544"
"80572","1","45253"
"80573","1","29994"
"80574","2","29994"
"80575","1","49576"
"80576","1",""
"80577","1","25999"
"80578","1","49577"
"80580","2","27719"
"80581","2","49577"
"80582","2","8119"
"80585","1","19160"
"80586","2","48906"
"80587","2","31811"
"80588","1","49516"
"80589","2","35593"
"80590","2","29031"
"80591","2",""
"80594","1","49225"
"80596","2","3934"
"80597","2","44055"
"80599","2","22026"
"80600","1","43053"
"80601","1","48766"
"80602","2","26969"
"80603","1","49583"
"80604","2","48906"
"80605","2","49069"
"80606","2","49544"
"80607","2","26969"
"80608","1","49514"
"80609","2","26969"
"80610","2","337"
"80611","1","49587"
"80612","2","41819"
"80613","2","38931"
"80614","2","31811"
"80615","2","49132"
"80616","2","49132"
"80617","1","45987"
"80618","2","48906"
"80619","2","48497"
"80620","1","49592"
"80621","2","49132"
"80624","2","26969"
"80627","1","1693"
"80629","2","45508"
"80630","2","1929"
"80631","1","49604"
"80632","2","48925"
"80634","2","41901"
"80636","1","39204"
"80638","1","49609"
"80639","1","45550"
"80640","1","44270"
"80641","2","1430"
"80645","2","11844"
"80646","2","1684"
"80647","1","39404"
"80648","1","49618"
"80649","2","1430"
"80650","1","11682"
"80651","2","41061"
"80654","2","43702"
"80655","1","31963"
"80656","1","17064"
"80657","2","31332"
"80658","2","43702"
"80659","2",""
"80660","2","43702"
"80661","2","200"
"80662","1","45234"
"80663","1","22605"
"80667","2","27719"
"80668","1","5296"
"80669","1","49628"
"80670","2","27719"
"80671","1","49514"
"80672","2","27719"
"80673","1","49572"
"80674","2","48906"
"80675","2","48906"
"80676","2","27719"
"80677","2","26969"
"80678","1","49628"
"80679","2","26969"
"80680","2","26969"
"80682","2","45026"
"50933","1","27350"
"50935","1","23067"
"50936","1","27018"
"50937","2","25768"
"50938","2","25768"
"50939","1","19367"
"50940","2","27353"
"50941","2","25170"
"50942","1","16648"
"50943","2","27353"
"50944","1","27191"
"50945","1","10889"
"50946","2","1424"
"50947","2","27121"
"50948","2","27331"
"50950","2","18640"
"50951","1","27362"
"50952","2","19430"
"50953","1","27328"
"50954","2","27324"
"50955","2","23581"
"50956","2","27324"
"50957","2","19430"
"50958","2","26183"
"50959","1","27364"
"50960","2","8119"
"50961","2","741"
"50962","2","7191"
"50963","1","27061"
"50964","1","14941"
"50966","2","27369"
"50967","2","2158"
"50968","2","7057"
"50969","1","27372"
"50970","2","27265"
"50971","2","26418"
"50972","2","7191"
"50975","2","26418"
"50977","2",""
"50978","1","27375"
"50979","1","27209"
"50980","1","12649"
"50981","1","13077"
"50982","2","11700"
"50983","2","13052"
"50984","2","27379"
"50985","2","27379"
"50986","2","16832"
"50987","1","27381"
"50988","2","27379"
"50989","2","26660"
"50990","2","27383"
"50991","1","23873"
"50992","2","7697"
"50993","1","2933"
"50994","2","9611"
"50995","2","27151"
"50996","2","27151"
"50997","1","73"
"50998","2","9134"
"51000","2","7191"
"51001","2","7804"
"51002","1","27389"
"51003","1","27387"
"51004","1","27390"
"51005","2","15146"
"51006","1","27392"
"51007","1","15282"
"51008","2","24570"
"51010","2","26183"
"51011","2","25358"
"51012","2","15970"
"51014","1","25417"
"51015","2","26183"
"51016","2","25010"
"51017","2","27394"
"51018","1","12927"
"51020","2","23581"
"51021","1","10062"
"51022","1","23549"
"51024","2","20818"
"51025","2","14467"
"51026","1","27403"
"51028","2","13842"
"51029","2","26418"
"51030","1","27405"
"51032","1","27231"
"51033","2","25132"
"51034","2","27409"
"51035","2","19580"
"51036","1","25623"
"51038","2","17382"
"51041","1","27411"
"51042","2","25358"
"51044","1","27415"
"51046","1","13932"
"51047","1","5543"
"51048","1","27364"
"51049","2","16700"
"51050","2","19017"
"51051","2","998"
"51052","2","27379"
"51054","2","4496"
"80791","2","27719"
"80793","2","9166"
"25869","1","11328"
"25870","2","20"
"25871","2","5224"
"25872","1","14569"
"25873","1","14573"
"25874","2","2158"
"25875","1","14566"
"25876","2","11686"
"25877","2","4129"
"25878","2","2188"
"25879","2","2698"
"25880","2","1101"
"25881","1","13285"
"25882","2","4857"
"25883","2","14520"
"25884","2","11369"
"25885","1","14114"
"25886","2","7191"
"25887","1","14378"
"25888","1","10527"
"25889","2","13964"
"25890","2","5224"
"25891","1","14544"
"25893","2","9825"
"25894","2","7191"
"25895","2","7191"
"25896","1","14110"
"25897","2","14580"
"25898","2","11622"
"25899","2","10165"
"25900","2","2624"
"25902","1","14251"
"25903","2","7191"
"25904","1","14520"
"25905","2","5824"
"25906","1","10012"
"25907","2","6172"
"25908","2","14587"
"25909","2","14524"
"25910","2",""
"25912","1","12969"
"25913","1","4830"
"25915","1","14594"
"25916","2","5060"
"25917","1","14521"
"25918","2","4781"
"25919","1","14342"
"25920","2","5224"
"25921","2","142"
"25922","2","12228"
"25923","2","10192"
"25925","2","8240"
"25926","2","5125"
"25927","2","5125"
"1","1","7"
"3","2","19"
"4","2","10"
"5","1","15"
"6","2","42"
"7","1","13"
"8","1","47"
"9","1","29"
"10","2","47"
"11","1","45"
"12","1","41"
"13","1","10"
"14","1","47"
"15","1","37"
"16","1","30"
"17","1","47"
"18","2","30"
"19","2","38"
"20","1","35"
"21","1","48"
"22","2","51"
"23","1","35"
"24","2","13"
"25","2","55"
"26","1","37"
"27","1","53"
"28","2","10"
"29","2","29"
"30","2","14"
"31","1","47"
"32","2","48"
"33","2","51"
"34","1","19"
"35","1","35"
"36","2","64"
"37","2","20"
"38","2","30"
"39","2","45"
"40","2","51"
"42","1","33"
"43","1","67"
"44","1","35"
"45","2","30"
"46","2","14"
"47","1","35"
"48","2","48"
"49","2","15"
"50","2","55"
"51","1","47"
"53","2",""
"54","2","10"
"55","2","48"
"57","2","27"
"58","2","14"
"59","1","35"
"61","2","34"
"62","2","35"
"63","2","48"
"64","1","15"
"65","2","23"
"66","2","19"
"67","2","47"
"68","1","56"
"69","2","89"
"70","2","79"
"71","2","33"
"72","2","14"
"73","2","27"
"74","1","51"
"76","2","9"
"77","1","34"
"79","1","68"
"81","2","98"
"82","1","67"
"83","2","94"
"85","1","13"
"86","2","48"
"88","2","20"
"89","1","47"
"90","1","35"
"91","2","96"
"92","2","79"
"93","2","48"
"94","2","27"
"95","1","21"
"96","2","93"
"97","1","91"
"98","1","33"
"99","2","43"
"100","2","67"
"101","2","89"
"102","1","82"
"103","1","35"
"104","2","23"
"105","2","51"
"106","2","88"
"107","2","27"
"109","1","13"
"110","2","112"
"111","2","97"
"113","2","6"
"115","2","107"
"116","1","35"
"117","2","89"
"118","2","94"
"119","2","96"
"120","2","119"
"121","2","79"
"122","2","106"
"125","2","10"
"126","2","38"
"127","2","14"
"128","2","88"
"129","2","34"
"130","1","35"
"131","2","119"
"132","2","47"
"133","2","30"
"134","2","123"
"135","2","111"
"137","2","19"
"138","1","35"
"139","2","55"
"140","2","47"
"141","2",""
"143","2","27"
"144","2","122"
"145","2","97"
"146","2","10"
"147","2","119"
"148","2","18"
"149","2","127"
"150","1","35"
"151","2","119"
"152","2","55"
"153","2","113"
"154","2","94"
"155","2","31"
"156","2","122"
"157","1","47"
"158","2","19"
"159","1","100"
"160","1","127"
"161","2","10"
"162","2","94"
"164","2","119"
"165","2","127"
"167","2","47"
"168","2","31"
"169","2","106"
"170","2","6"
"171","2","19"
"172","2","120"
"173","2","30"
"174","2","122"
"175","2","138"
"176","2","119"
"177","1","38"
"178","1","9"
"179","2","43"
"180","2","19"
"181","2","145"
"183","2","19"
"184","2","101"
"185","2","144"
"186","2","18"
"187","2","55"
"190","2","119"
"192","2",""
"193","2","136"
"194","2","119"
"195","1","35"
"196","2","73"
"197","1","47"
"198","2","138"
"199","2","9"
"200","2","30"
"201","2","19"
"202","2","9"
"203","2","127"
"204","1","51"
"205","2","35"
"206","2","148"
"112432","2","62256"
"112433","1","74199"
"112434","2","11204"
"112436","1","29929"
"112437","2","8240"
"112438","2","12670"
"112440","1","75038"
"112441","2","73570"
"112444","1","26734"
"112445","1","75621"
"112446","2","74040"
"112448","1","8365"
"112450","2","73708"
"112451","2","27492"
"112452","1","69483"
"112454","1","75330"
"112455","2","75624"
"112456","1","75506"
"112457","2","75626"
"112458","2","27492"
"112459","2","26122"
"112460","1","75033"
"112461","2","75627"
"112462","1","75629"
"112463","2","7697"
"112464","1","6054"
"112465","2","54967"
"112466","2","54967"
"112467","2","19594"
"112470","1","66019"
"112472","2","55830"
"112473","1","55081"
"112474","1","57578"
"112477","1","75646"
"112478","2","49010"
"112480","1","64131"
"112481","1","49832"
"112482","2","74040"
"112483","2","19427"
"112484","1","73491"
"112485","2","75648"
"112486","1","66497"
"112487","2","66497"
