Id,Reputation
"124700","1"
"124701","101"
"124702","101"
"124703","1"
"124704","1"
"124705","1"
"124706","1"
"124707","1"
"124708","1"
"124709","1"
"124710","1"
"124711","1"
"124712","1"
"124713","1"
"124714","101"
"124715","101"
"124716","1"
"124717","101"
"124718","1"
"124719","101"
"124720","1"
"124721","101"
"124722","1"
"124723","1"
"124724","101"
"124725","1"
"124726","113"
"124727","121"
"124728","1"
"124729","1"
"124730","1"
"124731","101"
"124732","1"
"124733","1"
"124734","1"
"124735","1"
"124736","11"
"124737","1"
"124738","1"
"124739","101"
"124740","101"
"124741","101"
"124742","101"
"124743","1"
"124744","1"
"124745","1"
"124746","1"
"124747","1"
"124748","1"
"124749","1"
"124750","1"
"124751","1"
"124752","101"
"124753","1"
"124754","101"
"124755","101"
"124756","1"
"124757","1"
"86982","101"
"86983","101"
"86984","1"
"86985","101"
"86989","11"
"86990","101"
"86991","101"
"86992","1"
"86993","101"
"86994","1"
"86995","1"
"86996","1"
"86997","1"
"86998","1"
"86999","6"
"87000","31"
"87001","101"
"87002","6"
"87003","6"
"87004","1"
"87005","1"
"87006","91"
"87008","1"
"87010","101"
"87014","8"
"87015","1"
"87016","109"
"87017","1"
"87018","1"
"87019","1"
"87020","1"
"87021","1"
"87022","1"
"87024","1"
"87025","1"
"87026","1"
"87029","1"
"87030","1"
"87031","1"
"87032","1"
"87033","1"
"87034","1"
"87036","6"
"87037","1"
"87038","184"
"87039","1"
"87041","1"
"87042","121"
"87043","11"
"87045","146"
"87047","1"
"87049","148"
"87050","1"
"87054","101"
"87055","152"
"87056","18"
"87057","1"
"87059","1"
"87060","1"
"87062","1"
"87063","101"
"87064","13"
"87065","111"
"87066","1"
"87067","101"
"87069","1"
"87070","21"
"87071","1"
"87073","101"
"87074","1"
"87075","1"
"87076","1"
"87077","101"
"87078","1"
"87079","1"
"87081","101"
"87082","8"
"87083","1"
"87085","1"
"87086","101"
"87087","1"
"87088","101"
"87091","106"
"87093","101"
"87094","101"
"87095","34"
"87096","1"
"87097","683"
"87098","1"
"87099","101"
"87100","1"
"87101","101"
"87103","21"
"87104","1"
"87105","1"
"87106","1"
"87107","8"
"87109","11"
"87110","106"
"87111","1"
"87113","1"
"87114","1"
"87115","101"
"87116","126"
"87118","26"
"87119","101"
"87120","1"
"87121","1"
"87123","101"
"87124","101"
"87125","1"
"87126","101"
"87127","116"
"87128","16"
"87129","1"
"87130","8"
"87131","4"
"87132","1"
"87133","1"
"87134","8"
"87136","1"
"87138","101"
"87139","101"
"87140","101"
"87141","1"
"87142","1"
"87143","6"
"87144","1"
"87145","101"
"87147","101"
"87148","1"
"87149","21"
"87150","1"
"87151","1"
"87153","1"
"87154","1"
"87155","1"
"87157","101"
"87158","1"
"87159","1"
"87160","1"
"87161","1"
"87162","1"
"87163","1"
"87164","1"
"87166","1"
"87167","6"
"87168","1"
"87169","1"
"87170","36"
"87171","1"
"87172","1"
"87173","1"
"87174","1"
"87175","101"
"87176","1"
"87177","1"
"87178","1"
"87179","1"
"87180","101"
"87181","1"
"87185","16"
"87186","1"
"87187","11"
"87188","101"
"87189","101"
"87190","1"
"87193","101"
"87194","1"
"87196","1"
"87197","101"
"87198","1"
"87199","101"
"87201","11"
"87202","1"
"87203","21"
"87204","1"
"87205","6"
"87206","1"
"87208","1"
"87209","11"
"87210","1"
"87211","101"
"87212","1"
"87213","101"
"87214","17"
"87215","1"
"87216","101"
"87217","1"
"87218","1"
"87219","101"
"87221","1"
"87223","1"
"87224","1"
"87225","1"
"87226","101"
"87227","130"
"87228","139"
"87229","1"
"87230","1"
"87231","6"
"87232","1"
"87233","101"
"87234","16"
"87235","1"
"87236","1"
"87238","16"
"87239","1"
"87241","6"
"87243","6"
"87244","1"
"87245","23"
"87246","1"
"87247","6"
"87248","106"
"87249","1"
"87252","1"
"87253","1"
"87254","1"
"87255","1"
"87256","1"
"87257","101"
"87258","1"
"87259","101"
"87260","101"
"87261","1"
"87262","1"
"87263","1"
"87264","101"
"87265","1"
"87266","1"
"87268","1"
"87269","6"
"87270","138"
"87271","1"
"87272","11"
"87273","8"
"87274","1"
"87275","16"
"87276","1"
"87277","1"
"87278","1"
"87279","101"
"87280","101"
